gene,mean_expr_high_ESS,mean_expr_low_ESS,fold_change,pvalue,effect_size_r,enriched_in
NCAM1,2.0379748,0.20633668,9.876896,1.1608137473271818e-307,-0.9058434537156126,Low-ESS
CDC20,0.13432693,1.1835095,0.113499574,7.706432906307973e-248,0.6708767741494895,High-ESS
CDCA8,0.08969512,0.9060192,0.099000126,5.164460591642145e-238,0.6235068405058104,High-ESS
CDK1,0.11409637,1.0641251,0.10722167,1.9306253988867446e-222,0.6086876415620484,High-ESS
CDKN3,0.09978921,0.74660724,0.13365805,2.2514066649840543e-194,0.5519027646570073,High-ESS
CDKN1C,1.7380635,0.6004205,2.8947406,2.958414777417299e-106,-0.5261320695660092,Low-ESS
CDCA3,0.062065355,0.6679464,0.09292102,1.8131964479704292e-197,0.5212848143047383,High-ESS
CDCA2,0.038004734,0.5347709,0.07106905,3.490446458697518e-184,0.47432107126190826,High-ESS
ITGB3BP,0.13146222,0.58669794,0.2240727,3.782687532136639e-136,0.4613919746411864,High-ESS
CDCA4,0.10993462,0.5063523,0.21711247,6.962460053482531e-127,0.42967282805404117,High-ESS
CDCA7L,0.07252431,0.45772249,0.15844786,1.1805759664658455e-119,0.38718144982301184,High-ESS
CDK4,0.4657414,0.95765156,0.48633754,1.2660735379381307e-64,0.3791465586906293,High-ESS
CDCA7,0.09768989,0.446575,0.21875535,2.204873633850685e-104,0.37217373860389946,High-ESS
CDC7,0.14319947,0.46821356,0.30584368,3.0634392303740316e-92,0.3695701351028352,High-ESS
CD99,0.431608,0.8516085,0.5068156,1.7369114866389746e-60,0.35944097929637264,High-ESS
CDT1,0.059917454,0.37002108,0.1619321,3.9669926283105246e-112,0.3543945412535995,High-ESS
METTL5,0.33717486,0.69430166,0.4856324,3.980688637159219e-57,0.3358854812825095,High-ESS
CDCA5,0.03705516,0.29661623,0.12492922,5.988844362367505e-117,0.3342799257901865,High-ESS
CDK2AP2,0.15300913,0.41795903,0.36608794,1.102261901203613e-73,0.3251758499413834,High-ESS
ITGB5,0.06643393,0.3268128,0.20328066,9.733448276159487e-92,0.3147016811026758,High-ESS
